Date,Ticker,label
2020-06-19,AMD,0
2020-06-19,AMZN,0
2020-06-19,AVGO,0
2020-06-19,AXP,1
2020-06-19,BA,0
2020-06-19,BAC,1
2020-06-19,BKNG,1
2020-06-19,BLK,0
2020-06-19,C,1
2020-06-19,CAT,0
2020-06-19,COST,0
2020-06-19,CRM,0
2020-06-19,CSCO,0
2020-06-19,CVX,1
2020-06-19,DE,0
2020-06-19,DIS,1
2020-06-19,GOOGL,0
2020-06-19,GS,0
2020-06-19,HD,0
2020-06-19,HON,1
2020-06-19,IBM,1
2020-06-19,INTC,0
2020-06-19,INTU,0
2020-06-19,JNJ,0
2020-06-19,JPM,1
2020-06-19,KO,0
2020-06-19,LLY,0
2020-06-19,LULU,0
2020-06-19,MA,0
2020-06-19,MCD,0
2020-06-19,META,0
2020-06-19,MRK,0
2020-06-19,MS,0
2020-06-19,MSFT,0
2020-06-19,MU,0
2020-06-19,NFLX,0
2020-06-19,NKE,0
2020-06-19,NOW,0
2020-06-19,NVDA,0
2020-06-19,ORCL,0
2020-06-19,PANW,0
2020-06-19,PEP,0
2020-06-19,PFE,1
2020-06-19,QCOM,0
2020-06-19,RTX,1
2020-06-19,SBUX,1
2020-06-19,SPY,0
2020-06-19,T,0
2020-06-19,TGT,0
2020-06-19,TMO,0
2020-06-19,TSLA,0
2020-06-19,TXN,0
2020-06-19,UNH,0
2020-06-19,V,0
2020-06-19,WFC,1
2020-06-19,WMT,0
2020-06-19,XOM,1
2020-06-22,AAPL,0
2020-06-22,ABBV,0
2020-06-22,ABT,0
2020-06-22,ADBE,0
2020-06-22,ADI,0
2020-06-22,AMAT,0
2020-06-22,AMD,0
2020-06-22,AMZN,0
2020-06-22,AVGO,0
2020-06-22,AXP,1
2020-06-22,BA,0
2020-06-22,BAC,1
2020-06-22,BKNG,1
2020-06-22,BLK,0
2020-06-22,C,1
2020-06-22,CAT,0
2020-06-22,COST,0
2020-06-22,CRM,0
2020-06-22,CSCO,0
2020-06-22,CVX,1
2020-06-22,DE,0
2020-06-22,DIS,0
2020-06-22,GOOGL,0
2020-06-22,GS,0
2020-06-22,HD,0
2020-06-22,HON,1
2020-06-22,IBM,1
